hidden_dim,reg,lr,iter,hr20
35,0.016,0.057,6,0.028702
36,0.016,0.057,6,0.028582
37,0.016,0.057,6,0.028223
34,0.016,0.053,6,0.027969
35,0.016,0.055,6,0.027819
36,0.016,0.057,6,0.027416
34,0.016,0.055,6,0.027355
36,0.017,0.057,6,0.027236
35,0.018,0.057,6,0.027185
34,0.015,0.057,6,0.027133
35,0.017,0.057,6,0.026985
36,0.014,0.057,6,0.026955
37,0.018,0.059,6,0.026892
36,0.014,0.055,6,0.026713
34,0.014,0.057,6,0.026624
37,0.017,0.061,6,0.026598
37,0.018,0.061,6,0.026383
35,0.016,0.057,6,0.026378
36,0.014,0.053,6,0.026337
35,0.016,0.053,6,0.026276
35,0.014,0.053,6,0.026272
36,0.018,0.061,6,0.026209
37,0.017,0.057,6,0.026072
36,0.018,0.059,6,0.026032
37,0.016,0.061,6,0.025943
37,0.017,0.059,6,0.025628
37,0.018,0.057,6,0.025565
36,0.015,0.053,6,0.025421
35,0.017,0.061,6,0.025402
36,0.016,0.059,6,0.025241
35,0.014,0.055,6,0.025049
34,0.015,0.055,6,0.025012
35,0.015,0.057,6,0.024958
36,0.015,0.057,6,0.024932
35,0.014,0.057,6,0.024923
37,0.016,0.059,6,0.024897
34,0.014,0.055,6,0.024819
36,0.016,0.053,6,0.024723
35,0.018,0.061,6,0.024695
36,0.017,0.059,6,0.024662
35,0.015,0.053,6,0.024605
36,0.016,0.055,6,0.02457
34,0.015,0.053,6,0.024364
35,0.016,0.059,6,0.024229
35,0.018,0.059,6,0.02407
36,0.017,0.061,6,0.023829
36,0.018,0.057,6,0.023757
35,0.017,0.059,6,0.023661
34,0.014,0.053,6,0.023483
36,0.016,0.061,6,0.023095
36,0.015,0.055,6,0.023069
35,0.016,0.061,6,0.023063
35,0.015,0.055,6,0.023056
34,0.016,0.057,6,0.022515
